"filename", "language", "C", "C++", "comment", "blank", "total"
"/home/everlast1ng/code/c/c5/最小值和最大值.c", "C", -30, 0, 0, -7, -37
"/home/everlast1ng/code/c/c5/梅森数.c", "C", -34, 0, 0, -11, -45
"/home/everlast1ng/code/c/c5/水仙花数.c", "C", -33, 0, 0, -12, -45
"/home/everlast1ng/code/c/c5/求e的近似值.c", "C", -17, 0, 0, -6, -23
"/home/everlast1ng/code/c/c5/求奇数和.c", "C", -18, 0, 0, -6, -24
"/home/everlast1ng/code/c/c5/求幂级数展开的部分和.c", "C", -17, 0, 0, -6, -23
"/home/everlast1ng/code/c/c5/求平方与倒数序列的部分和.c", "C", -12, 0, 0, -6, -18
"/home/everlast1ng/code/c/c5/求最大公约数（枚举法）.c", "C", -15, 0, 0, -8, -23
"/home/everlast1ng/code/c/c5/求最大公约数（辗转相除法）.c", "C", -14, 0, 0, -6, -20
"/home/everlast1ng/code/c/c5/求满足条件的数（数字和）.c", "C", -42, 0, 0, -14, -56
"/home/everlast1ng/code/c/c5/求符合给定条件的整数集.c", "C", -55, 0, 0, -12, -67
"/home/everlast1ng/code/c/c5/求简单交错序列前N项和.c", "C", -16, 0, 0, -6, -22
"/home/everlast1ng/code/c/c5/求组合数.c", "C", -21, 0, 0, -11, -32
"/home/everlast1ng/code/c/c5/求若干整数的最大值.c", "C", -18, 0, 0, -7, -25
